NCBI_taxonomy_name,fmin,fmax
Erysipelothrix rhusiopathiae,38782,40996
Escherichia,100,1234
Escherichia coli,0,1078
Exiguobacterium sp.,32642,33520
Flavobacterium johnsoniae,442,1189
Fluoribacter gormanii,16,842
Francisella philomiragia,78318,79185
Francisella tularensis,630303,631167
Fusobacterium nucleatum,0,765
Geobacillus stearothermophilus,0,1377
Glaesserella parasuis,11257,12175
Gracilibacillus timonensis,0,420
Gram-negative bacterium,0,1206
Haemophilus influenzae,572403,573422
Haemophilus parainfluenzae,4334,5195
Hafnia alvei,0,1173
Halobacterium salinarum,1455,3644
Helcococcus kunzii,80337,81078
Helicobacter pylori,687927,688581
Hyphomonas beringensis,200409,201234
IncQ plasmid,1679,2855
Janthinobacterium lividum,36,987
Kitasatospora aureofaciens,0,1539
Klebsiella,100,961
Klebsiella aerogenes,215,1226
Klebsiella grimontii,4259289,4260166
Klebsiella huaxiensis,240320,241194
Klebsiella michiganensis,2989578,2990454
Klebsiella oxytoca,116,1019
Klebsiella pasteurii,1109459,1110333
Klebsiella pneumoniae,0,880
Klebsiella quasipneumoniae,100,961
Klebsiella sp.,11588,12589
Klebsiella spallanzanii,139522,140389
Klebsiella variicola,1747,2609
Kluyvera,0,876
Kluyvera ascorbata,1911,2787
Kluyvera cryocrescens,0,876
Kluyvera genomosp.,0,876
Kluyvera georgiana,0,876
Kluyvera intermedia,0,876
Kluyvera sp.,3,876
Lactobacillus johnsonii,28,1948
Lactococcus garvieae,0,1494
Lactococcus lactis,310893,312888
Laribacter hongkongensis,0,1173
Legionella longbeachae,3537848,3539018
Legionella pneumophila,3280793,3281861
Lelliottia amnigena,2000,3143
Limosilactobacillus reuteri,0,717
Listeria monocytogenes,5693,8291
Longilinea arvoryzae,292413,293283
Macrococcus canis,25516,26977
Macrococcus caseolyticus,9587,11618
Mammaliicoccus fleurettii,63932,65115
Mammaliicoccus lentus,2186,2918
Mammaliicoccus sciuri,162,1626
Mannheimia haemolytica,114,1034
Massilia sp.,511,1434
Megasphaera elsdenii,0,1920
Micrococcus luteus,0,846
Micrococcus sp.,686,1973
Micromonospora chalcea,277,1098
Micromonospora griseorubida,723,1636
Micromonospora zionensis,100,925
Moraxella catarrhalis,1975,2917
Moraxella osloensis,1701629,1703306
Moraxella pluranimalium,3448,4719
Moraxella porci,80,1004
Moraxella sp.,0,1626
Morganella morganii,0,1140
Mycobacterium,0,1441
Mycobacterium avium,3650,6467
Mycobacterium intracellulare,0,3103
Mycobacterium kansasii,5018387,5021505
Mycobacterium leprae,40191,40740
Mycobacterium tuberculosis,2153888,2156111
Mycobacteroides abscessus,1462397,1463901
Mycobacteroides chelonae,0,3113
Mycolicibacterium fortuitum,619,1849
Mycolicibacterium mageritense,2034,2790
Mycolicibacterium smegmatis,1842491,1844297
Mycoplasma gallisepticum,80510,83423
Mycoplasma genitalium,171727,174461
Mycoplasma hominis,496772,499615
Mycoplasma pneumoniae,0,2905
Mycoplasmopsis fermentans,901870,904756
Myroides albus,0,741
Myroides odoratimimus,100,901
Myroides odoratus,130,877
Myxococcus,100,886
Neisseria gonorrhoeae,180,2423
Neisseria meningitidis,330790,332317
Niallia circulans,0,789
Nocardia asteroides,159,1092
Nocardia farcinica,3747376,3748798
Oligella urethralis,857,1882
Others,100,914
Paenibacillus popilliae,4338,4959
Paenibacillus sp.,0,878
Pandoraea apista,11900,12771
Pandoraea commovens,4595946,4596825
Pandoraea norimbergensis,172,1030
Pandoraea pnomenusa,3,861
Pandoraea pulmonicola,4174490,4175342
Pandoraea sp.,1028,1880
Pandoraea sputorum,0,1138
Pantoea agglomerans,504,1416
Pantoea sp.,202,1342
Parabacteroides distasonis,1863442,1864380
Paramesorhizobium deserti,32461,33355
Pasteurella multocida,539,1325
Pedobacter sp.,4318,5179
Phocaeicola vulgatus,149,1115
Photobacterium damselae,72246,73252
Planobispora rosea,476,1670
Plasmid NR79,1295,2087
Plasmid PDS075,100,961
Plasmid R,756,1314
Plasmid R387,271,913
Plasmid RP4,778,1594
Plasmid pAZ1,0,489
Plasmid pGT633,0,735
Plasmid pNG2,295,1150
Plasmid pTB913,240,1002
Plasmid pWP113a,185,1046
Plasmid pWW100,68,929
Porphyromonas gingivalis,573191,573902
Prevotella baroniae,190961,191480
Prevotella bivia,3868,4375
Prevotella intermedia,71,1037
Propionibacterium freudenreichii,1849,4984
Proteus genomosp.,36121,37258
Proteus mirabilis,0,949
Proteus penneri,100,688
Proteus sp.,100,931
Proteus vulgaris,0,927
Providencia,0,741
Providencia rettgeri,0,900
Providencia sp.,0,1037
Providencia stuartii,0,867
Pseudomonas,0,1078
Pseudomonas aeruginosa,0,1194
Pseudomonas alcaligenes,0,803
Pseudomonas alloputida,0,801
Pseudomonas asiatica,0,741
Pseudomonas fluorescens,120,1005
Pseudomonas guariconensis,4610545,4611349
Pseudomonas indoloxydans,0,788
Pseudomonas mosselii,0,720
Pseudomonas oleovorans,0,789
Pseudomonas parasichuanensis,0,801
Pseudomonas putida,127,869
Pseudomonas shirazica,0,801
Pseudomonas soli,0,801
Pseudomonas sp.,0,1194
Pseudomonas stutzeri,100,829
Pseudomonas syringae,386,935
Pseudomonas tohonis,20312,21176
Pseudomonas wenzhouensis,0,1140
Pseudoxanthomonas japonensis,17834,18740
Psychrobacter maritimus,2461,3358
Pyrinomonadaceae,996229,996970
Rahnella aquatilis,0,888
Ralstonia insidiosa,0,828
Ralstonia mannitolilytica,0,822
Ralstonia pickettii,475,1302
Raoultella,100,976
Raoultella ornithinolytica,50,978
Raoultella planticola,100,976
Raoultella terrigena,100,955
Rheinheimera sp.,100,574
Rhodobacter capsulatus,1375,2257
Rhodococcus fascians,992,2168
Rhodococcus hoagii,1014,2150
Rhodococcus rhodochrous,435,1611
Riemerella anatipestifer,1618244,1619006
Saccharopolyspora erythraea,189,1335
Saccharothrix mutabilis,205,1051
Salmonella enterica,703,1577
Salmonella sp.,2903,4155
Serratia fonticola,0,950
Serratia marcescens,0,1068
Serratia rubidaea,0,855
Serratia sp.,4650251,4651279
Serratia ureilytica,41156,42036
Shewanella,9,845
Shewanella algae,0,764
Shewanella chilikensis,0,870
Shewanella denitrificans,100,910
Shewanella frigidimarina,0,735
Shewanella indica,0,870
Shewanella livingstonensis,0,750
Shewanella oneidensis,0,798
Shewanella sp.,0,798
Shewanella xiamenensis,0,798
Shigella flexneri,210726,211762
Shigella sonnei,100,961
Shigella sp.,0,876
Sphingobacterium faecium,14993,15914
Sphingobium indicum,2379245,2380169
Sphingomonas sp.,1254,2112
Staphylococcus,1397969,1400372
Staphylococcus arlettae,2236,3085
Staphylococcus aureus,3709,4417
Staphylococcus cohnii,2437,3545
Staphylococcus epidermidis,585,1682
